X,Y,full_id,attributio,boundary,health_lev,name,ref,ref_dhis2,alt_name
28.8706438050565,-2.5929230896287,r6000334,Référentiel Géographique Commun (RGC.cd),health,6,Nyantende,06020304,R1E0VjRQ4SN,
28.8361920421442,-2.33343996038468,r6000335,Référentiel Géographique Commun (RGC.cd),health,6,Miti-Murhesa,,cXkCT53xxfk,
28.7712541527392,-2.22451023786074,r6000336,Référentiel Géographique Commun (RGC.cd),health,6,Katana,,TpB2SUwsDbn,
28.0442584330252,1.2374481285332,r10595518,Référentiel Géographique Commun (RGC.cd),health,6,Nia Nia,,tWlaqwSUheI,
20.1278642079167,-2.58511831764155,r10625705,Référentiel Géographique Commun (RGC.cd),health,6,Mimia,,IIMpZbLeAvx,
19.7649615574525,-3.54675006049253,r10625844,Référentiel Géographique Commun (RGC.cd),health,6,Oshwe,,ZOLJkw5FviP,
24.6504213184099,0.68582622014219,r10625896,Référentiel Géographique Commun (RGC.cd),health,6,Yakusu,,IQjyCunMvUt,
21.3673376787605,-0.750250893119234,r10625915,Référentiel Géographique Commun (RGC.cd),health,6,Wema,,qa0zXM6tGPJ,
23.7081264816121,-9.41130764446497,r10626062,Référentiel Géographique Commun (RGC.cd),health,6,Kafakumba,,I42uxuyvTXt,
16.9971113661646,-2.07307966346652,r10626114,Référentiel Géographique Commun (RGC.cd),health,6,Ntandembelo,,Kts0Ppbd4En,
26.7350326709712,-10.2618582602967,r10626135,Référentiel Géographique Commun (RGC.cd),health,6,Bunkeya,,cw1CZyDiPyA,
27.3365722860701,-5.3135990525773,r10626188,Référentiel Géographique Commun (RGC.cd),health,6,Mbulula,,W7IdWpJnPra,
22.0048327928082,-1.01550083604806,r10627772,Référentiel Géographique Commun (RGC.cd),health,6,Busanga,,PpY62UBIBEf,Bosanga
22.3851452701618,-1.29939069744645,r10627881,Référentiel Géographique Commun (RGC.cd),health,6,Yalifafu,,pVmIEdIFeUJ,Yalifafo
23.0361442268244,-0.616487917759452,r10627958,Référentiel Géographique Commun (RGC.cd),health,6,Mondombe,,sJNFC3s1djp,
29.9161762713862,-7.68306804228601,r10641919,Référentiel Géographique Commun (RGC.cd),health,6,Moba,,adxBRCwSlWc,
18.6316831128456,-3.33054031162632,r10644694,Référentiel Géographique Commun (RGC.cd),health,6,Bosobe,,DlpIIdkVKyg,
